"","respect_m_rater1_male","control_m_rater1_male","expertise_m_rater1_male","fighting_m_rater1_male","respect_m_rater7_male","control_m_rater7_male","expertise_m_rater7_male","fighting_m_rater7_male","respect_f_rater5_female","control_f_rater5_female","expertise_f_rater5_female","fighting_f_rater5_female","likable_m_rater1_male","feared_m_rater1_male","intelligent_m_rater1_male","spouse_m_rater1_male","likable_f_rater5_female","feared_f_rater5_female","intelligent_f_rater5_female","spouse_f_rater5_female","decisions_f_rater5_female","likable_m_rater7_male","feared_m_rater7_male","intelligent_m_rater7_male","spouse_m_rater7_male","decisions_m_rater7_male","allies_m_rater7_male","hunting_m_rater7_male","allies_f_rater5_female","farming_f_rater5_female","parenting_f_rater5_female","conflict_f_rater5_female","decisions_m_rater1_male","allies_m_rater1_male","conflict_m_rater1_male","respect_f_rater6_female","fighting_f_rater6_female","expertise_f_rater6_female","control_f_rater6_female","likable_f_rater6_female","feared_f_rater6_female","intelligent_f_rater6_female","spouse_f_rater6_female","decisions_f_rater6_female","parenting_m_rater1_male","hunting_m_rater1_male","farming_m_rater1_male","honey_m_rater1_male","respect_f_rater4_female","control_f_rater4_female","expertise_f_rater4_female","fighting_f_rater4_female","likable_f_rater4_female","feared_f_rater4_female","intelligent_f_rater4_female","respected_m_rater3_male","control_m_rater3_male","expertise_m_rater3_male","fighting_m_rater3_male","likable_m_rater3_male","parenting_f_rater6_female","feared_m_rater3_male","intelligent_m_rater3_male","spouse_m_rater3_male","spouse_f_rater4_female","parenting_f_rater4_female","respect_m_rater4_female","fighting_m_rater4_female","parenting_m_rater3_male","likable_m_rater6_female","feared_m_rater6_female","intelligent_m_rater6_female","respect_m_rater6_female","fighting_m_rater6_female","expertise_m_rater6_female","control_m_rater6_female","spouse_m_rater6_female","likable_m_rater4_female","kin_m_rater3_male","expertise_m_rater4_female","feared_m_rater4_female","intelligent_m_rater4_female","control_m_rater4_female","spouse_m_rater4_female","parenting_m_rater7_male","kin_m_rater7_male","respected_f_rater3_male","fighting_f_rater3_male","expertise_f_rater3_male","control_f_rater3_male","parenting_m_rater6_female","likable_f_rater3_male","feared_f_rater3_male","intelligent_f_rater3_male","spouse_f_rater3_male","respect_f_rater2_male","fighting_f_rater2_male","expertise_f_rater2_male","control_f_rater2_male","intelligent_f_rater2_male","likable_f_rater2_male","feared_f_rater2_male","spouse_f_rater2_male","parenting_f_rater2_male","kin_m_rater6_female","kin_f_rater6_female","parenting_f_rater3_male","kin_f_rater3_male","parenting_m_rater4_female","kin_m_rater4_female","kin_f_rater4_female","kin_f_rater2_male","kin_m_rater2_male","kin_f_rater5_female","farming_f_rater6_female","conflict_f_rater6_female","allies_f_rater6_female","decisions_m_rater3_male","decisions_f_rater4_female","farming_f_rater4_female","conflict_f_rater4_female","allies_f_rater4_female","prosocial_f_rater4_female","allies_m_rater3_male","hunting_m_rater3_male","conflict_m_rater3_male","conflict_m_rater7_male","prosocial_f_rater6_female","farming_m_rater3_male","decisions_m_rater6_female","prosocial_m_rater3_male","decisions_m_rater4_female","conflict_m_rater6_female","prosocial_m_rater7_male","decisions_f_rater3_male","decisions_f_rater2_male","allies_m_rater6_female","prosocial_m_rater6_female","conflict_f_rater3_male","allies_f_rater3_male","prosocial_f_rater3_male","conflict_m_rater4_female","allies_m_rater4_female","prosocial_m_rater4_female","conflict_f_rater2_male","prosocial_f_rater2_male","allies_f_rater2_male","prosocial_m_rater2_male","prosocial_f_rater5_female","honey_m_rater3_male","coffee_m_rater3_male","hunting_m_rater4_female","hunting_m_rater6_female","honey_m_rater6_female","farming_m_rater6_female","farming_m_rater7_male","honey_m_rater7_male","coffee_m_rater7_male","farming_f_rater2_male","coffee_m_rater6_female","farming_f_rater3_male","farming_m_rater4_female","honey_m_rater4_female","coffee_m_rater4_female","coffee_m_rater2_male"
"11","5597","5281","5238","5372","5403","5569","5618","5617","5387","5570","5589","5642","5569","5613","5403","5250","5443","5596","5483","5387","5589","5614","5250","5597","5267","5376","5372","5267","5480","5636","5485","5318","5613","5536","5376","5443","5480","5483","5318","5642","5481","5640","5406","5640","5372","5403","5408","5281","5318","5387","5570","5388","5406","5480","5483","5604","5281","5281","5638","5407","5400","5641","5376","5641","5320","5642","5578","5632","5269","5597","5251","5569","5372","5376","5269","5597","5408","5238","5536","5500","5637","5597","5269","5637","5604","5604","5640","5642","5388","5400","5376","5400","5649","5481","5400","5481","5406","5649","5636","5387","5484","5480","5320","5485","5281","5484","5387","5589","5499","5408","5640","5485","5632","5400","5318","5356","5649","5597","5596","5480","5590","5318","5318","5536","5597","5250","5376","5590","5372","5376","5617","5408","5403","5267","5388","5649","5267","5237","5320","5319","5570","5250","5500","5500","5356","5357","5387","5613","5400","5267","5618","5597","5408","5613","5597","5500","5267","5604","5400","5407","5388","5637","5238","5407","5618"
"12","5569","5370","5370","5626","5250","5614","5250","5500","5443","5579","5485","5590","5637","5638","5238","5238","5318","5642","5481","5480","5481","5613","5376","5569","5405","5605","5250","5618","5443","5634","5642","5320","5371","5618","5372","5406","5484","5484","5406","5640","5480","5639","5400","5570","5238","5407","5407","5251","5484","5484","5636","5400","5579","5481","5484","5613","5372","5372","5408","5269","5387","5578","5618","5626","5319","5649","5569","5604","5615","5578","5250","5372","5403","5407","5267","5569","5372","5237","5578","5536","5251","5614","5597","5641","5618","5251","5480","5639","5387","5579","5403","5590","5570","5388","5484","5649","5356","5483","5483","5484","5387","5320","5485","5387","5269","5387","5356","5649","5641","5251","5388","5639","5269","5485","5319","5357","5640","5372","5636","5481","5639","5356","5356","5500","5617","5641","5604","5636","5376","5372","5597","5638","5376","5638","5400","5579","5569","5403","5356","5318","5388","5267","5372","5250","5481","5484","5388","5267","5443","5251","5403","5250","5500","5614","5604","5618","5641","5267","5579","5269","5356","5250","5376","5372","5403"
"13","5376","5269","5281","5371","5237","5617","5403","5499","5589","5400","5387","5634","5614","5605","5618","5370","5357","5484","5443","5406","5320","5626","5237","5637","5281","5613","5267","5641","5400","5485","5387","5634","5370","5613","5403","5318","5642","5485","5590","5639","5443","5636","5388","5388","5614","5408","5578","5616","5590","5443","5639","5642","5636","5483","5639","5372","5237","5237","5569","5500","5388","5372","5626","5281","5318","5570","5372","5605","5604","5618","5405","5376","5269","5499","5632","5376","5405","5372","5597","5403","5615","5605","5641","5267","5637","5281","5443","5590","5357","5570","5405","5481","5483","5483","5485","5640","5480","5400","5356","5640","5485","5388","5318","5388","5267","5400","5320","5388","5618","5403","5318","5640","5251","5387","5320","5387","5642","5641","5639","5483","5640","5357","5357","5269","5616","5626","5372","5483","5251","5370","5237","5370","5372","5370","5387","5400","5618","5597","5483","5443","5485","5613","5238","5499","5634","5639","5400","5407","5640","5250","5614","5407","5267","5403","5613","5407","5578","5408","5570","5281","5320","5251","5578","5376","5604"
"14","5250","5267","5250","5269","5641","5618","5269","5615","5484","5406","5484","5406","5281","5604","5626","5281","5320","5590","5400","5634","5357","5638","5267","5605","5250","5614","5269","5370","5388","5387","5483","5387","5281","5626","5614","5319","5640","5570","5636","5596","5406","5596","5570","5387","5605","5499","5617","5578","5406","5485","5640","5320","5483","5484","5640","5626","5616","5616","5637","5604","5483","5569","5614","5618","5481","5485","5376","5637","5499","5617","5408","5238","5604","5500","5618","5403","5605","5376","5604","5267","5371","5604","5615","5578","5638","5237","5320","5481","5356","5485","5605","5484","5480","5484","5570","5570","5570","5406","5634","5400","5388","5589","5484","5570","5407","5579","5319","5485","5578","5618","5483","5388","5267","5640","5356","5388","5596","5604","5640","5484","5642","5483","5483","5281","5376","5597","5641","5484","5238","5626","5250","5614","5237","5618","5485","5406","5632","5618","5484","5634","5640","5578","5251","5370","5636","5640","5589","5251","5318","5372","5616","5370","5281","5597","5614","5632","5618","5251","5589","5267","5319","5237","5372","5405","5267"
"15","5614","5403","5407","5267","5269","5372","5370","5641","5649","5640","5443","5484","5269","5597","5614","5269","5484","5356","5634","5649","5387","5618","5269","5618","5578","5632","5281","5569","5387","5642","5406","5649","5269","5614","5617","5320","5649","5400","5640","5590","5318","5590","5485","5357","5405","5500","5616","5500","5640","5406","5642","5640","5357","5485","5642","5632","5597","5597","5617","5613","5640","5618","5616","5605","5483","5484","5403","5638","5408","5376","5267","5237","5641","5237","5617","5626","5617","5403","5613","5281","5376","5613","5251","5370","5370","5269","5642","5649","5319","5484","5604","5485","5443","5485","5579","5579","5318","5485","5481","5579","5570","5596","5319","5400","5408","5406","5484","5387","5408","5614","5406","5400","5281","5642","5387","5570","5570","5632","5642","5485","5483","5636","5636","5641","5403","5604","5626","5387","5617","5597","5641","5237","5569","5237","5570","5570","5238","5626","5485","5480","5639","5376","5578","5614","5596","5485","5406","5269","5387","5578","5617","5408","5370","5237","5500","5638","5376","5281","5406","5536","5318","5536","5405","5569","5269"
"16","5238","5371","5614","5250","5614","5638","5578","5536","5485","5388","5356","5480","5267","5614","5407","5267","5485","5639","5596","5642","5388","5637","5281","5250","5617","5638","5638","5604","5357","5318","5356","5484","5250","5617","5637","5356","5639","5387","5642","5579","5319","5589","5387","5356","5267","5372","5604","5604","5480","5570","5590","5636","5387","5570","5570","5618","5604","5604","5597","5618","5642","5405","5281","5617","5484","5483","5405","5641","5267","5372","5281","5250","5614","5536","5536","5604","5618","5405","5614","5407","5632","5615","5370","5238","5372","5370","5387","5589","5443","5483","5578","5570","5406","5570","5406","5485","5319","5579","5320","5649","5400","5590","5640","5579","5403","5570","5639","5484","5238","5370","5480","5406","5500","5634","5388","5485","5400","5569","5570","5570","5484","5639","5639","5237","5267","5408","5605","5400","5614","5604","5281","5269","5578","5578","5357","5387","5269","5604","5570","5636","5443","5371","5371","5632","5320","5387","5579","5408","5485","5597","5500","5613","5269","5372","5616","5251","5597","5250","5640","5372","5443","5617","5237","5618","5408"
"17","5618","5614","5372","5604","5617","5237","5281","5604","5590","5484","5406","5649","5251","5370","5569","5617","5634","5406","5636","5318","5318","5376","5370","5405","5638","5637","5637","5372","5320","5443","5639","5357","5238","5616","5638","5483","5481","5357","5400","5649","5320","5579","5319","5484","5408","5376","5614","5250","5483","5579","5579","5596","5388","5579","5400","5408","5238","5238","5281","5617","5649","5604","5251","5405","5636","5400","5407","5499","5637","5250","5614","5403","5626","5372","5500","5605","5626","5407","5615","5250","5267","5372","5617","5569","5405","5372","5579","5636","5480","5481","5569","5579","5589","5579","5480","5356","5320","5484","5319","5406","5406","5634","5483","5406","5376","5485","5640","5483","5376","5638","5485","5589","5536","5443","5485","5484","5388","5605","5485","5579","5485","5387","5387","5403","5269","5578","5637","5406","5578","5632","5618","5618","5597","5250","5356","5485","5403","5499","5642","5483","5590","5269","5614","5267","5319","5388","5570","5641","5589","5405","5407","5569","5376","5569","5370","5372","5604","5269","5642","5569","5590","5407","5616","5370","5500"
"18","5638","5604","5632","5617","5569","5250","5617","5371","5483","5485","5640","5400","5250","5269","5638","5578","5483","5649","5640","5388","5400","5372","5371","5251","5370","5408","5632","5376","5318","5649","5484","5642","5597","5632","5407","5484","5483","5356","5387","5406","5649","5406","5318","5483","5407","5250","5638","5267","5570","5636","5443","5480","5400","5590","5388","5251","5614","5614","5615","5616","5639","5632","5632","5597","5639","5388","5408","5408","5638","5237","5613","5405","5605","5615","5372","5407","5641","5408","5616","5238","5605","5251","5405","5251","5407","5403","5484","5634","5590","5480","5626","5387","5318","5642","5481","5639","5388","5357","5480","5483","5357","5636","5642","5589","5238","5483","5642","5400","5614","5267","5443","5579","5370","5484","5484","5483","5387","5251","5484","5590","5570","5484","5484","5405","5614","5614","5250","5579","5569","5605","5269","5407","5604","5251","5649","5642","5372","5408","5388","5484","5480","5237","5617","5237","5318","5579","5485","5281","5406","5500","5408","5617","5372","5617","5281","5237","5251","5370","5649","5597","5636","5578","5604","5251","5614"
"19","5281","5407","5638","5569","5407","5281","5632","5376","5400","5480","5634","5589","5604","5267","5617","5405","5480","5589","5485","5483","5443","5616","5403","5626","5605","5569","5614","5638","5639","5483","5589","5406","5614","5637","5615","5639","5636","5579","5443","5443","5589","5443","5481","5480","5638","5251","5403","5269","5579","5640","5480","5590","5484","5596","5387","5617","5376","5376","5403","5403","5480","5617","5605","5637","5640","5387","5237","5407","5614","5269","5605","5407","5637","5614","5251","5408","5604","5569","5617","5237","5641","5569","5372","5604","5408","5405","5483","5596","5596","5443","5618","5357","5319","5640","5483","5400","5443","5356","5596","5357","5356","5443","5387","5642","5250","5590","5649","5579","5407","5613","5649","5649","5371","5590","5483","5480","5484","5237","5357","5596","5400","5388","5388","5407","5250","5376","5281","5570","5269","5613","5267","5250","5632","5269","5642","5357","5376","5267","5400","5485","5483","5403","5376","5281","5443","5589","5640","5500","5483","5569","5405","5405","5403","5578","5269","5637","5638","5372","5485","5618","5649","5370","5281","5269","5616"
"20","5604","5372","5269","5403","5370","5370","5637","5569","5388","5639","5649","5596","5617","5251","5632","5403","5356","5388","5406","5485","5480","5407","5407","5578","5269","5269","5408","5269","5406","5639","5481","5485","5569","5638","5408","5640","5596","5406","5480","5480","5590","5480","5483","5649","5637","5267","5405","5370","5634","5320","5406","5443","5485","5634","5596","5376","5408","5408","5499","5405","5443","5376","5637","5267","5642","5357","5238","5405","5405","5405","5604","5408","5370","5281","5250","5370","5597","5578","5618","5372","5499","5370","5637","5405","5569","5407","5485","5320","5636","5406","5499","5356","5356","5639","5639","5406","5481","5590","5318","5356","5640","5318","5400","5640","5251","5642","5406","5570","5604","5597","5357","5642","5569","5649","5443","5443","5483","5269","5356","5634","5388","5485","5485","5408","5500","5237","5617","5485","5237","5641","5251","5626","5626","5281","5640","5484","5237","5251","5387","5570","5357","5536","5407","5403","5589","5406","5642","5615","5649","5616","5250","5267","5614","5604","5408","5613","5372","5403","5387","5237","5639","5618","5267","5408","5281"
"21","5267","5569","5569","5238","5613","5376","5614","5250","5480","5642","5639","5636","5616","5250","5605","5372","5590","5443","5590","5639","5642","5250","5536","5267","5569","5370","5407","5237","5649","5406","5388","5590","5407","5405","5370","5642","5589","5590","5483","5320","5636","5483","5484","5590","5569","5269","5376","5407","5400","5649","5318","5319","5570","5636","5357","5269","5641","5641","5237","5578","5406","5403","5250","5638","5649","5356","5250","5403","5407","5407","5597","5267","5267","5269","5237","5281","5370","5597","5641","5405","5237","5408","5250","5269","5578","5536","5570","5319","5639","5356","5614","5640","5357","5590","5640","5480","5589","5570","5443","5642","5649","5319","5639","5639","5372","5649","5579","5642","5605","5617","5320","5590","5617","5356","5480","5590","5639","5267","5387","5636","5387","5640","5640","5267","5604","5281","5613","5480","5616","5614","5407","5605","5618","5372","5639","5640","5250","5250","5640","5649","5484","5638","5638","5251","5406","5400","5649","5614","5356","5617","5251","5238","5616","5405","5267","5604","5237","5405","5639","5238","5387","5269","5250","5641","5370"
"22","5269","5638","5578","5613","5637","5267","5638","5403","5639","5649","5590","5388","5605","5238","5372","5637","5649","5480","5480",NA,"5649","5237","5569","5617","5641","5250","5405","5405","5642","5480","5480","5356","5617","5407","5267","5400","5388","5639","5484","5356","5484","5356",NA,"5639","5641","5281","5372","5597","5388","5318","5319","5318","5639","5639","5356","5578","5617","5617","5238","5637","5570","5267","5641","5604",NA,"5320","5251","5376","5569","5267","5578","5251","5408","5267","5614","5267","5281","5604","5267","5597","5638","5578","5237","5617","5403","5569","5590","5318","5570","5357","5408","5642","5388","5356","5642","5484","5596","5639","5590","5639","5639","5639",NA,"5480","5614","5640","5570","5357","5370","5250","5590","5480","5616","5483","5649","5639","5590","5405","5388","5639","5357","5642","5642","5617","5405","5403","5251","5639","5632","5408","5405","5403","5617","5376","5483","5639","5626","5281","5639","5642","5387","5251","5613","5618","5590","5570","5639","5370","5642","5604","5281","5500","5604","5408","5407","5250","5500","5407","5483","5250","5485","5403","5408","5616","5569"
"23","5408","5618","5617","5597","5638","5251","5237","5370","5634","5483","5483","5443","5408","5372","5637","5605","5642","5318","5649",NA,"5406","5405","5597","5372","5604","5617","5403","5250","5590","5590","5649","5480","5616","5408","5251","5388","5320","5640","5639","5484","5485","5484",NA,"5642","5578","5604","5238","5638","5356","5480","5320","5406","5640","5640","5320","5616","5578","5578","5250","5638","5356","5613","5613","5372",NA,"5443","5267","5372","5376","5281","5569","5281","5578","5250","5616","5251","5251","5605","5269","5605","5614","5371","5613","5638","5613","5578","5357","5443","5589","5639","5407","5639","5634","5357",NA,"5590","5634","5387","5589","5480","5483","5484",NA,"5484","5616","5480","5400","5640","5269","5407","5642","5356","5615","5406","5590","5642","5480","5407","5400","5640","5356","5570","5570","5626","5251","5617","5614","5640","5405","5407","5403","5281","5637","5405","5480","5483","5637","5614","5590","5640","5406","5637","5615","5269","5480","5642","5483","5536","5590","5641","5569","5616","5638","5281","5405","5281","5617","5569","5356","5251","5484","5616","5614","5604","5617"
"24","5372","5578","5618","5536","5251","5407","5405","5281","5570","5356","5642","5318","5632","5376","5578","5408","5406","5320","5642",NA,"5483","5251","5604","5638","5403","5578","5578","5281","5485","5356",NA,"5483","5405","5251","5405","5579","5319","5649","5649","5400","5388","5642",NA,"5485","5618","5370","5250","5569","5320","5483","5356","5649","5642","5642","5480","5238","5605","5605","5372","5614",NA,"5536","5403","5251",NA,NA,"5269","5371","5618","5251","5536","5370","5407","5569","5597","5250","5578","5613","5281","5613","5238","5281","5604","5403","5376","5597","5356","5388","5406","5640","5637","5480","5636","5406",NA,"5642","5636","5480","5406","5590","5642","5642",NA,"5357","5569","5639","5480","5356","5638","5237","5570","5483","5614","5480","5639","5640","5443","5578","5649","5642","5320","5400","5400","5638","5237","5269","5267","5642","5267","5405","5372","5613","5638","5407","5590","5356","5638","5578","5357","5639","5400","5604","5403","5641","5483","5649","5480","5371","5480","5638","5237","5281","5250","5370","5403","5405","5613","5578","5480","5616","5483","5408","5370","5403","5641"
"25","5251","5408","5637","5500","5408","5405","5407","5632","5406","5590","5480","5481","5238","5616","5616","5251","5639","5636","5639",NA,"5639","5267","5605","5616","5408","5281","5569","5616","5356","5484",NA,"5639","5632","5267","5578","5649","5318","5642","5596","5483","5642","5649",NA,"5400","5269","5641","5269","5618","5642","5388","5649","5634","5649","5649","5649","5641","5251","5251","5641","5632",NA,"5408","5578","5403",NA,NA,"5281","5370","5578","5616","5615","5616","5613","5597","5604","5616","5638","5614","5371","5614","5578","5269","5578","5626","5614","5605","5639","5480","5640","5642","5638","5406","5639","5387",NA,"5357","5639","5640","5649","5570","5590","5640",NA,NA,"5578","5356",NA,"5639","5569","5376","5356","5570","5408","5639","5642","5400","5485","5614","5483","5649","5649","5649","5649","5578","5281","5267","5370","5649","5403","5267","5569","5238","5641","5408","5406","5590","5641","5569","5480","5590","5596","5370","5250","5605","5649","5480","5590","5569","5639","5281","5238","5237","5237","5250","5376","5403","5250","5597","5443","5614","5480","5641","5613","5617","5638"
"26","5578","5641","5605","5499","5372","5269","5597","5637",NA,NA,NA,"","5371","5403","5281","5641","",NA,NA,NA,NA,"5370","5613","5407","5613","5405","5237","5617",NA,NA,NA,NA,"5637","5578","5632",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5613","5613","5370","5372",NA,NA,NA,NA,NA,"",NA,"5403","5403","5403","5376","5641",NA,"5638","5372","5578",NA,NA,"5370","5281",NA,"5614","5616","5614","5251","5604","5605","5617","5403","5615","5372","5637","5604","5237","5616","5281",NA,"5613","5406","5483","5481","5590","5641","5483","5485","5400",NA,"5483","5642","5642","5642","5485","5579","5406",NA,NA,"5617",NA,NA,"5406","5637","5632",NA,"5357","5407",NA,NA,NA,NA,"5638",NA,NA,NA,NA,NA,"5376","5372","5569","5638",NA,"5637","5237","5605","5616","5605","5569","5484","5480","5614","5617","5406","5481","5356","5238","5632","5376","5388","5590","5484","5617",NA,"5237","5637","5403","5251","5500","5372","5267","5281","5605","5590","5405","5406","5604","5371","5613","5632"
"27","5616","5605","5267","5376","5267","5613","5408","5614",NA,NA,NA,"","5638","5405","5641","5626","",NA,NA,NA,NA,"5269","5614","5237","5637","5267","5604","5407",NA,NA,NA,NA,"5638","5238","5616",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5618","5641","5403",NA,NA,NA,NA,NA,"",NA,"5407","5569","5569","5407","5376",NA,"5637","5569","5569",NA,NA,"5371","5269",NA,"5604","5617","5626","5616","5238","5407","5578","5637","5616","5569","5604","5613","5616","5407","5613",NA,"5614",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"5604",NA,NA,NA,NA,"5281",NA,NA,"5604",NA,NA,NA,NA,"5637",NA,NA,NA,NA,NA,"5614","5407","5605","5237",NA,"5638","5251","5638","5617","5405","5605",NA,NA,"5616","5616",NA,NA,NA,"5616","5370","5372",NA,NA,NA,"5616",NA,"5637","5638","5638","5405","5632","5237","5370","5370","5613",NA,"5617",NA,"5372","5638","5638","5578"
